rent_id,property_id,client_id,agent_id,owner_id,rent_amount,commission_rate,commission_amount,commission_payment_method,commission_payment_date,agreement_date,rent_start_date,rent_end_date,terms,rent_months
19,1861,1345,194,481,10260.0,0.05,4617.0,Cash,2024-07-19,6/11/2024,2024-06-23,2025-03-20,Lease agreement for Villa in CA for 9 months. Condition: Good.,9
20,94,1424,26,1609,2300.0,0.1,7360.0,Bank Transfer,2024-09-21,4/4/2024,2024-04-05,2026-11-21,Lease agreement for Office in NY for 32 months. Condition: Fair.,32
21,1218,966,197,1572,1400.0,0.05,1960.0,Bank Transfer,2024-03-17,8/9/2023,2023-08-12,2025-11-29,Lease agreement for Studio in FL for 28 months. Condition: Fair.,28
22,1596,1812,52,1631,5010.0,0.1,3507.0,Credit Card,2023-10-11,8/20/2023,2023-09-04,2024-04-01,Lease agreement for Office in IL for 7 months. Condition: Good.,7
23,2655,2040,101,1712,3180.0,0.1,8268.0,Bank Transfer,2024-12-13,2/9/2023,2023-03-05,2025-04-23,Lease agreement for Office in NY for 26 months. Condition: Fair.,26
24,2070,1373,157,150,1320.0,0.1,3036.0,Cash,2024-12-01,8/24/2024,2024-08-27,2026-07-18,Lease agreement for Studio in IL for 23 months. Condition: Good.,23
25,546,198,102,1525,3920.0,0.1,12544.0,Bank Transfer,2024-10-20,10/20/2024,2024-11-16,2027-07-04,Lease agreement for Apartment in FL for 32 months. Condition: Good.,32
26,1199,751,97,925,5430.0,0.1,3258.0,Bank Transfer,2023-03-04,6/14/2022,2022-07-03,2022-12-30,Lease agreement for House in CA for 6 months. Condition: Fair.,6
27,1082,428,63,450,2170.0,0.05,651.0,Cash,2024-05-02,2/25/2024,2024-03-08,2024-09-04,Lease agreement for Office in TX for 6 months. Condition: Good.,6
28,2000,1368,14,60,12820.0,0.1,8974.0,Cash,2023-09-25,11/19/2022,2022-12-07,2023-07-05,Lease agreement for Villa in CA for 7 months. Condition: Good.,7
29,165,614,179,30,1530.0,0.1,1377.0,Cash,2022-10-19,7/25/2022,2022-08-16,2023-05-13,Lease agreement for Studio in TX for 9 months. Condition: Good.,9
30,2215,613,194,1740,2240.0,0.05,1792.0,Bank Transfer,2024-05-06,9/3/2023,2023-10-01,2025-01-23,Lease agreement for Apartment in FL for 16 months. Condition: Good.,16
31,534,1749,208,1334,3760.0,0.1,9776.0,Bank Transfer,2022-11-06,8/24/2022,2022-08-29,2024-10-17,Lease agreement for Office in IL for 26 months. Condition: Good.,26
32,672,2004,45,1011,3190.0,0.05,957.0,Credit Card,2023-12-22,2/26/2023,2023-03-16,2023-09-12,Lease agreement for Office in CA for 6 months. Condition: Poor.,6
33,2567,432,101,92,2400.0,0.05,1560.0,Credit Card,2023-11-16,9/24/2023,2023-09-29,2024-10-23,Lease agreement for Apartment in FL for 13 months. Condition: Good.,13
34,2775,1205,28,1436,2140.0,0.05,1498.0,Cash,2024-04-19,3/8/2023,2023-04-01,2024-05-25,Lease agreement for Apartment in IL for 14 months. Condition: Poor.,14
35,1848,401,17,1086,2130.0,0.1,6177.0,Cash,2024-09-16,6/26/2024,2024-06-30,2026-11-17,Lease agreement for Studio in CA for 29 months. Condition: Fair.,29
36,1666,1489,113,1468,2100.0,0.1,1890.0,Credit Card,2023-11-12,9/17/2023,2023-10-05,2024-07-01,Lease agreement for Apartment in IL for 9 months. Condition: Fair.,9
37,2246,27,93,1251,1060.0,0.1,636.0,Credit Card,2024-08-24,5/20/2024,2024-06-03,2024-11-30,Lease agreement for Studio in IL for 6 months. Condition: Good.,6
38,1998,453,19,798,4050.0,0.1,8100.0,Bank Transfer,2024-12-23,12/7/2024,2024-12-28,2026-08-20,Lease agreement for House in NY for 20 months. Condition: Fair.,20
39,2767,1456,19,1543,5360.0,0.05,9112.0,Bank Transfer,2024-11-21,8/25/2024,2024-09-19,2027-07-06,Lease agreement for Apartment in CA for 34 months. Condition: Good.,34
40,237,346,26,1083,1540.0,0.05,1078.0,Cash,2022-07-22,6/30/2020,2020-07-18,2021-09-11,Lease agreement for Studio in FL for 14 months. Condition: Good.,14
41,111,1958,140,1203,9450.0,0.05,12757.5,Credit Card,2024-08-01,12/8/2023,2024-01-04,2026-03-24,Lease agreement for House in CA for 27 months. Condition: Good.,27
42,2051,1948,93,1080,3350.0,0.1,2010.0,Cash,2024-12-10,11/28/2024,2024-12-22,2025-06-20,Lease agreement for Office in CA for 6 months. Condition: Poor.,6
43,1927,1120,120,1457,6690.0,0.05,9031.5,Credit Card,2024-12-18,12/5/2024,2024-12-16,2027-03-06,Lease agreement for House in NY for 27 months. Condition: Good.,27
44,1910,802,14,1083,1190.0,0.05,1368.5,Bank Transfer,2024-08-12,11/7/2023,2023-11-08,2025-09-28,Lease agreement for Studio in FL for 23 months. Condition: Good.,23
45,1102,437,14,945,1260.0,0.05,1134.0,Cash,2023-06-30,4/28/2023,2023-05-17,2024-11-07,Lease agreement for Studio in IL for 18 months. Condition: Fair.,18
46,1575,645,46,887,3570.0,0.05,3391.5,Cash,2024-12-25,12/14/2024,2024-12-17,2026-07-10,Lease agreement for Office in FL for 19 months. Condition: Good.,19
47,69,1988,152,686,16090.0,0.1,32180.0,Bank Transfer,2024-02-13,9/7/2021,2021-09-29,2023-05-22,Lease agreement for Villa in CA for 20 months. Condition: Good.,20
48,698,1015,73,599,2970.0,0.05,3712.5,Cash,2023-10-15,5/10/2023,2023-06-08,2025-06-27,Lease agreement for Office in TX for 25 months. Condition: Good.,25
49,1562,1114,71,352,3060.0,0.05,4284.0,Cash,2024-02-16,6/16/2023,2023-07-08,2025-10-25,Lease agreement for Apartment in FL for 28 months. Condition: Good.,28
50,2883,1920,149,122,1870.0,0.05,1589.5,Credit Card,2023-04-15,11/7/2021,2021-11-28,2023-04-22,Lease agreement for Studio in CA for 17 months. Condition: Good.,17
51,518,1301,39,64,3940.0,0.1,8274.0,Cash,2024-09-14,9/7/2024,2024-09-28,2026-06-20,Lease agreement for House in TX for 21 months. Condition: Good.,21
52,1677,1270,244,926,5130.0,0.1,16416.0,Credit Card,2023-09-09,2/10/2022,2022-02-28,2024-10-15,Lease agreement for Office in FL for 32 months. Condition: Fair.,32
53,844,732,102,611,1670.0,0.05,751.5,Credit Card,2024-08-31,12/16/2022,2022-12-31,2023-09-27,Lease agreement for Studio in CA for 9 months. Condition: Good.,9
54,532,488,113,1361,950.0,0.1,2850.0,Cash,2024-12-11,9/23/2023,2023-09-26,2026-03-14,Lease agreement for Studio in FL for 30 months. Condition: Good.,30
55,2968,500,19,212,6650.0,0.05,5985.0,Bank Transfer,2024-10-30,8/18/2024,2024-08-21,2026-02-12,Lease agreement for House in TX for 18 months. Condition: Good.,18
56,2547,687,184,1538,1870.0,0.1,3927.0,Cash,2024-04-06,11/7/2023,2023-11-29,2025-08-20,Lease agreement for Apartment in TX for 21 months. Condition: Good.,21
57,145,444,244,470,18800.0,0.1,50760.0,Credit Card,2024-07-25,3/19/2023,2023-04-18,2025-07-06,Lease agreement for Villa in CA for 27 months. Condition: Good.,27
58,2691,639,181,599,5150.0,0.05,7725.0,Cash,2024-12-30,12/16/2024,2025-01-01,2027-06-20,Lease agreement for Office in CA for 30 months. Condition: Good.,30
59,2671,1564,248,438,5700.0,0.1,20520.0,Cash,2024-05-19,4/2/2024,2024-04-16,2027-04-01,Lease agreement for Office in TX for 36 months. Condition: Good.,36
60,970,2052,160,1312,6830.0,0.05,3756.5,Bank Transfer,2023-02-26,12/21/2022,2023-01-02,2023-11-28,Lease agreement for House in NY for 11 months. Condition: Good.,11
61,2921,470,4,1666,3120.0,0.05,2808.0,Bank Transfer,2024-12-13,12/5/2024,2024-12-22,2026-06-15,Lease agreement for House in FL for 18 months. Condition: Poor.,18
62,1118,482,85,45,3330.0,0.1,10989.0,Credit Card,2024-09-20,6/14/2024,2024-06-28,2027-03-15,Lease agreement for Office in IL for 33 months. Condition: Good.,33
63,936,1149,240,1207,4790.0,0.05,3592.5,Cash,2024-11-23,11/1/2024,2024-11-14,2026-02-07,Lease agreement for Office in NY for 15 months. Condition: Good.,15
64,853,1013,159,752,2440.0,0.05,1220.0,Cash,2024-12-18,10/10/2024,2024-10-23,2025-08-19,Lease agreement for Office in TX for 10 months. Condition: Fair.,10
65,1713,1138,233,1275,1090.0,0.1,981.0,Bank Transfer,2024-12-25,12/12/2024,2024-12-20,2025-09-16,Lease agreement for Studio in FL for 9 months. Condition: Good.,9
66,169,1949,203,1335,2690.0,0.05,3900.5,Bank Transfer,2024-07-26,7/16/2024,2024-07-23,2026-12-10,Lease agreement for Apartment in FL for 29 months. Condition: Fair.,29
67,1724,572,84,34,3690.0,0.1,7749.0,Bank Transfer,2024-05-26,5/4/2023,2023-05-17,2025-02-05,Lease agreement for House in IL for 21 months. Condition: Fair.,21
68,394,435,84,601,7300.0,0.05,2190.0,Credit Card,2024-10-08,5/3/2024,2024-05-29,2024-11-25,Lease agreement for House in CA for 6 months. Condition: Good.,6
69,2539,966,93,1694,1520.0,0.1,1520.0,Bank Transfer,2024-05-05,12/8/2022,2022-12-22,2023-10-18,Lease agreement for Studio in TX for 10 months. Condition: Good.,10
70,788,985,124,622,1350.0,0.1,4590.0,Credit Card,2024-12-30,12/21/2024,2024-12-24,2027-10-10,Lease agreement for Studio in TX for 34 months. Condition: Good.,34
71,136,1167,30,308,1550.0,0.1,930.0,Credit Card,2024-12-04,5/6/2024,2024-05-24,2024-11-20,Lease agreement for Studio in FL for 6 months. Condition: Good.,6
72,865,1675,244,969,3890.0,0.1,12059.0,Credit Card,2024-05-18,5/7/2024,2024-05-17,2026-12-03,Lease agreement for House in IL for 31 months. Condition: Good.,31
73,702,1934,121,687,1810.0,0.1,4887.0,Bank Transfer,2024-01-11,9/2/2023,2023-09-05,2025-11-23,Lease agreement for Apartment in TX for 27 months. Condition: Fair.,27
74,1684,657,244,1310,3610.0,0.1,9747.0,Cash,2024-11-08,2/28/2024,2024-03-14,2026-06-02,Lease agreement for Apartment in CA for 27 months. Condition: Good.,27
75,2487,1708,22,827,6260.0,0.1,5008.0,Cash,2024-10-30,10/25/2024,2024-11-13,2025-07-11,Lease agreement for House in NY for 8 months. Condition: Good.,8
76,99,2015,214,280,1800.0,0.1,3240.0,Cash,2024-05-25,3/22/2023,2023-03-27,2024-09-17,Lease agreement for Office in NY for 18 months. Condition: Poor.,18
77,2564,645,203,447,1300.0,0.05,910.0,Bank Transfer,2023-10-17,1/29/2021,2021-02-01,2022-03-28,Lease agreement for Studio in TX for 14 months. Condition: Good.,14
78,1475,582,92,937,3710.0,0.05,5565.0,Bank Transfer,2024-08-02,6/27/2024,2024-07-12,2026-12-29,Lease agreement for Office in CA for 30 months. Condition: Fair.,30
79,1284,449,205,382,3760.0,0.05,2820.0,Bank Transfer,2024-10-23,1/2/2023,2023-01-15,2024-04-09,Lease agreement for Apartment in FL for 15 months. Condition: Good.,15
80,1551,887,93,959,3420.0,0.1,6498.0,Cash,2024-02-22,1/23/2024,2024-02-12,2025-09-04,Lease agreement for Apartment in FL for 19 months. Condition: Good.,19
81,924,1360,160,1748,8480.0,0.1,30528.0,Credit Card,2024-08-19,11/16/2023,2023-12-05,2026-11-19,Lease agreement for House in NY for 36 months. Condition: Good.,36
82,2776,1899,46,1443,1190.0,0.05,1606.5,Cash,2024-11-15,11/15/2024,2024-11-17,2027-02-05,Lease agreement for Studio in FL for 27 months. Condition: Fair.,27
83,1255,294,244,1749,13380.0,0.1,42816.0,Bank Transfer,2024-09-04,11/21/2022,2022-12-05,2025-07-22,Lease agreement for Villa in CA for 32 months. Condition: Good.,32
84,2205,1864,89,1344,2940.0,0.1,6174.0,Credit Card,2024-12-28,12/28/2024,2025-01-07,2026-09-29,Lease agreement for Apartment in FL for 21 months. Condition: Fair.,21
85,2413,262,113,505,1150.0,0.1,3220.0,Bank Transfer,2024-12-23,12/17/2024,2024-12-26,2027-04-15,Lease agreement for Studio in TX for 28 months. Condition: Good.,28
86,385,1330,147,72,11530.0,0.1,21907.0,Bank Transfer,2024-07-04,4/10/2024,2024-04-15,2025-11-06,Lease agreement for Villa in NY for 19 months. Condition: Good.,19
87,1274,707,206,829,1660.0,0.05,2407.0,Bank Transfer,2024-10-31,5/9/2024,2024-05-27,2026-10-14,Lease agreement for Studio in NY for 29 months. Condition: Good.,29
88,205,1872,226,496,3430.0,0.1,7889.0,Credit Card,2023-09-29,8/11/2023,2023-08-15,2025-07-05,Lease agreement for House in FL for 23 months. Condition: Fair.,23
89,2480,1306,232,193,2330.0,0.1,5592.0,Bank Transfer,2024-08-30,5/31/2024,2024-06-10,2026-05-31,Lease agreement for Apartment in TX for 24 months. Condition: Fair.,24
90,610,601,180,819,1140.0,0.05,912.0,Bank Transfer,2024-05-12,5/1/2024,2024-05-06,2025-08-29,Lease agreement for Studio in TX for 16 months. Condition: Good.,16
91,618,587,62,1397,4760.0,0.05,3332.0,Bank Transfer,2024-01-08,3/4/2023,2023-03-15,2024-05-08,Lease agreement for House in NY for 14 months. Condition: Good.,14
92,593,1976,140,75,6770.0,0.05,6431.5,Cash,2024-10-24,9/20/2024,2024-09-30,2026-04-23,Lease agreement for Villa in FL for 19 months. Condition: Fair.,19
93,2286,1788,149,797,13510.0,0.05,17563.0,Cash,2024-08-20,5/6/2024,2024-05-16,2026-07-05,Lease agreement for Villa in CA for 26 months. Condition: Good.,26
94,817,253,46,768,1900.0,0.1,5320.0,Bank Transfer,2023-11-22,10/14/2023,2023-11-07,2026-02-24,Lease agreement for Studio in CA for 28 months. Condition: Good.,28
95,1969,1042,62,1131,4780.0,0.1,4302.0,Cash,2021-07-24,9/13/2020,2020-10-01,2021-06-28,Lease agreement for House in NY for 9 months. Condition: Fair.,9
96,2204,1488,16,1411,4950.0,0.05,2970.0,Credit Card,2022-09-01,6/21/2022,2022-07-14,2023-07-09,Lease agreement for House in CA for 12 months. Condition: Good.,12
97,585,1668,171,332,11060.0,0.05,9401.0,Cash,2024-07-19,2/20/2024,2024-03-08,2025-07-31,Lease agreement for Villa in NY for 17 months. Condition: Good.,17
98,2878,630,232,197,8180.0,0.1,20450.0,Credit Card,2024-12-24,7/17/2024,2024-07-23,2026-08-12,Lease agreement for Villa in NY for 25 months. Condition: Fair.,25
99,1579,1907,188,235,1800.0,0.1,1620.0,Credit Card,2023-08-19,8/13/2022,2022-08-17,2023-05-14,Lease agreement for Studio in NY for 9 months. Condition: Good.,9
100,599,1486,168,420,9199.999999999998,0.05,2760.0,Cash,2023-03-11,1/5/2022,2022-01-15,2022-07-14,Lease agreement for House in CA for 6 months. Condition: Good.,6
101,438,612,4,1028,1050.0,0.05,630.0,Credit Card,2024-02-06,5/30/2023,2023-05-31,2024-05-25,Lease agreement for Studio in IL for 12 months. Condition: Fair.,12
102,509,1791,191,62,3030.0,0.1,8181.0,Credit Card,2024-12-11,11/20/2024,2024-12-19,2027-03-09,Lease agreement for House in TX for 27 months. Condition: Good.,27
103,1362,1968,81,1608,3170.0,0.1,9510.0,Credit Card,2024-12-17,12/12/2024,2025-01-02,2027-06-21,Lease agreement for Office in NY for 30 months. Condition: Fair.,30
104,1129,656,5,356,2710.0,0.1,9756.0,Credit Card,2024-02-27,1/29/2024,2024-02-02,2027-01-17,Lease agreement for House in IL for 36 months. Condition: Good.,36
105,2071,1719,96,928,2510.0,0.05,2008.0,Bank Transfer,2024-12-10,8/24/2024,2024-09-20,2026-01-13,Lease agreement for Studio in NY for 16 months. Condition: Good.,16
106,1966,1182,17,501,1270.0,0.05,1397.0,Credit Card,2024-08-20,6/23/2024,2024-07-04,2026-04-25,Lease agreement for Studio in FL for 22 months. Condition: Fair.,22
107,2435,2000,176,443,8140.0,0.1,5698.0,Bank Transfer,2024-12-26,12/25/2024,2025-01-08,2025-08-06,Lease agreement for Villa in FL for 7 months. Condition: Good.,7
108,2340,1595,205,889,3200.0,0.05,960.0,Cash,2024-11-27,10/25/2024,2024-10-30,2025-04-28,Lease agreement for House in IL for 6 months. Condition: Good.,6
109,2959,1875,100,466,6410.0,0.05,5128.0,Bank Transfer,2024-06-15,2/9/2024,2024-03-08,2025-07-01,Lease agreement for Apartment in CA for 16 months. Condition: Good.,16
110,2641,748,100,397,1820.0,0.05,1547.0,Bank Transfer,2023-08-16,2/20/2023,2023-03-16,2024-08-07,Lease agreement for Apartment in IL for 17 months. Condition: Poor.,17
111,1633,1375,101,1422,3680.0,0.05,1472.0,Credit Card,2024-12-21,11/16/2024,2024-12-16,2025-08-13,Lease agreement for Apartment in FL for 8 months. Condition: Good.,8
112,661,252,100,1106,3940.0,0.1,7880.0,Credit Card,2024-06-03,11/14/2023,2023-12-08,2025-07-30,Lease agreement for House in IL for 20 months. Condition: Fair.,20
113,1856,1224,26,1496,3030.0,0.05,1515.0,Bank Transfer,2024-12-21,12/21/2024,2025-01-10,2025-11-06,Lease agreement for Office in CA for 10 months. Condition: Fair.,10
114,142,1051,52,1670,7630.0,0.05,9537.5,Credit Card,2024-10-05,9/25/2024,2024-10-19,2026-11-08,Lease agreement for Villa in TX for 25 months. Condition: Poor.,25
115,1787,138,233,708,3060.0,0.1,9792.0,Credit Card,2023-03-09,3/12/2022,2022-03-24,2024-11-08,Lease agreement for House in IL for 32 months. Condition: Good.,32
116,2717,1324,217,46,5860.0,0.1,17580.0,Cash,2024-03-20,7/10/2023,2023-07-18,2026-01-03,Lease agreement for House in NY for 30 months. Condition: Good.,30
117,2277,1486,45,989,5760.0,0.05,4320.0,Credit Card,2023-06-24,12/22/2022,2023-01-03,2024-03-28,Lease agreement for Office in CA for 15 months. Condition: Fair.,15
118,1922,1745,240,780,5070.0,0.1,4056.0,Bank Transfer,2024-12-21,11/5/2024,2024-11-26,2025-07-24,Lease agreement for Apartment in CA for 8 months. Condition: Fair.,8
119,2726,2000,104,752,4080.0,0.1,9792.0,Bank Transfer,2024-02-06,12/23/2021,2022-01-11,2024-01-01,Lease agreement for Apartment in CA for 24 months. Condition: Good.,24
120,1108,273,240,1480,3220.0,0.1,9338.0,Credit Card,2024-03-16,5/26/2023,2023-05-30,2025-10-16,Lease agreement for House in FL for 29 months. Condition: Fair.,29
121,1188,48,12,1314,5940.0,0.05,10692.0,Bank Transfer,2024-11-09,9/26/2024,2024-09-28,2027-09-13,Lease agreement for Office in NY for 36 months. Condition: Good.,36
122,368,792,14,506,2070.0,0.1,2484.0,Credit Card,2024-06-19,12/7/2023,2024-01-06,2024-12-31,Lease agreement for Apartment in TX for 12 months. Condition: Fair.,12
123,1295,1604,62,100,2880.0,0.1,8928.0,Cash,2023-06-20,8/2/2021,2021-08-04,2024-02-20,Lease agreement for Studio in CA for 31 months. Condition: Good.,31
124,1771,1218,97,1025,5480.0,0.05,7946.0,Credit Card,2024-10-12,1/28/2023,2023-02-21,2025-07-10,Lease agreement for House in TX for 29 months. Condition: Good.,29
125,126,14,206,111,3840.0,0.05,6144.0,Cash,2024-11-06,4/9/2024,2024-04-16,2026-12-02,Lease agreement for House in TX for 32 months. Condition: Good.,32
126,1996,1439,62,236,5390.0,0.1,18865.0,Bank Transfer,2024-11-13,9/12/2023,2023-10-06,2026-08-21,Lease agreement for House in NY for 35 months. Condition: Fair.,35
127,2965,1590,212,447,3240.0,0.05,2268.0,Credit Card,2024-12-30,3/14/2024,2024-03-29,2025-05-23,Lease agreement for House in IL for 14 months. Condition: Fair.,14
128,1488,349,215,24,3100.0,0.05,3720.0,Credit Card,2024-12-29,12/29/2024,2025-01-14,2027-01-04,Lease agreement for Apartment in TX for 24 months. Condition: Good.,24
129,2793,722,14,1584,2960.0,0.1,7104.0,Bank Transfer,2024-01-18,3/8/2021,2021-03-25,2023-03-15,Lease agreement for Office in NY for 24 months. Condition: Good.,24
130,54,1685,72,1414,7490.0,0.05,7490.0,Credit Card,2024-12-19,9/5/2024,2024-09-06,2026-04-29,Lease agreement for Villa in IL for 20 months. Condition: Good.,20
131,224,410,78,119,3280.0,0.05,2460.0,Bank Transfer,2024-09-03,5/13/2022,2022-06-03,2023-08-27,Lease agreement for Apartment in NY for 15 months. Condition: Fair.,15
132,2239,418,32,726,3030.0,0.1,3030.0,Cash,2024-12-29,12/7/2024,2024-12-24,2025-10-20,Lease agreement for Apartment in TX for 10 months. Condition: Good.,10
133,1462,1711,248,1511,3349.9999999999995,0.1,9715.0,Cash,2023-10-19,11/16/2022,2022-11-23,2025-04-11,Lease agreement for House in IL for 29 months. Condition: Good.,29
134,1305,209,181,1046,1460.0,0.05,438.0,Bank Transfer,2022-04-06,10/28/2021,2021-11-01,2022-04-30,Lease agreement for Studio in FL for 6 months. Condition: Fair.,6
135,1871,768,39,1230,2100.0,0.05,2415.0,Bank Transfer,2024-09-17,6/30/2024,2024-07-25,2026-06-15,Lease agreement for Studio in CA for 23 months. Condition: Good.,23
136,987,131,26,1277,3710.0,0.05,6678.0,Cash,2022-06-24,3/11/2022,2022-03-14,2025-02-26,Lease agreement for Office in FL for 36 months. Condition: Good.,36
137,1085,894,120,1695,2220.0,0.1,6438.0,Bank Transfer,2024-12-19,10/18/2024,2024-11-03,2027-03-23,Lease agreement for Apartment in TX for 29 months. Condition: Fair.,29
138,1973,1646,149,1114,8180.0,0.1,8180.0,Cash,2022-09-21,6/12/2021,2021-07-02,2022-04-28,Lease agreement for Villa in IL for 10 months. Condition: Fair.,10
139,2593,1890,194,169,1420.0,0.1,4118.0,Cash,2024-02-11,12/9/2023,2023-12-23,2026-05-11,Lease agreement for Studio in TX for 29 months. Condition: Good.,29
140,663,232,101,741,1650.0,0.1,1815.0,Credit Card,2023-11-29,9/14/2022,2022-10-13,2023-09-08,Lease agreement for Studio in NY for 11 months. Condition: Good.,11
141,693,860,213,1219,1750.0,0.05,2275.0,Cash,2024-04-26,5/8/2022,2022-06-01,2024-07-20,Lease agreement for Studio in CA for 26 months. Condition: Good.,26
142,2665,253,144,756,4010.0,0.05,5012.5,Credit Card,2024-12-03,8/8/2024,2024-08-11,2026-08-31,Lease agreement for House in TX for 25 months. Condition: Good.,25
143,2513,1784,232,327,12890.0,0.1,34803.0,Cash,2024-01-17,12/6/2023,2023-12-28,2026-03-17,Lease agreement for Villa in CA for 27 months. Condition: Fair.,27
144,175,1936,100,311,7300.0,0.05,9125.0,Credit Card,2024-09-24,5/25/2022,2022-06-07,2024-06-26,Lease agreement for Villa in FL for 25 months. Condition: Fair.,25
145,1236,237,101,867,12340.0,0.05,11106.0,Bank Transfer,2024-12-07,10/11/2024,2024-11-04,2026-04-28,Lease agreement for Villa in TX for 18 months. Condition: Good.,18
146,2987,1463,194,853,1580.0,0.1,2370.0,Cash,2024-12-25,12/18/2024,2024-12-23,2026-03-18,Lease agreement for Studio in IL for 15 months. Condition: Good.,15
147,1850,417,155,567,3780.0,0.05,5670.0,Credit Card,2024-03-08,3/13/2023,2023-03-25,2025-09-10,Lease agreement for Apartment in TX for 30 months. Condition: Good.,30
148,795,1450,30,35,3199.9999999999995,0.1,1920.0,Bank Transfer,2023-10-22,9/23/2023,2023-09-24,2024-03-22,Lease agreement for House in TX for 6 months. Condition: Good.,6
149,2395,196,188,1643,12720.0,0.1,40704.0,Credit Card,2024-12-20,4/20/2021,2021-05-15,2023-12-31,Lease agreement for Villa in NY for 32 months. Condition: Good.,32
150,2554,1306,124,1374,2350.0,0.05,822.5,Cash,2024-10-06,8/2/2024,2024-08-25,2025-03-23,Lease agreement for Apartment in FL for 7 months. Condition: Good.,7
151,2639,1984,36,1167,1720.0,0.1,4816.0,Credit Card,2024-01-17,11/8/2022,2022-11-22,2025-03-11,Lease agreement for Studio in CA for 28 months. Condition: Fair.,28
152,1783,94,53,1352,4030.0,0.1,5642.0,Bank Transfer,2023-12-09,11/3/2023,2023-11-23,2025-01-16,Lease agreement for House in FL for 14 months. Condition: Fair.,14
153,2331,775,212,22,1310.0,0.1,4323.0,Cash,2024-10-12,9/26/2024,2024-10-08,2027-06-25,Lease agreement for Studio in FL for 33 months. Condition: Good.,33
154,1746,1884,12,1704,6430.0,0.1,19290.0,Credit Card,2023-08-26,7/29/2023,2023-08-18,2026-02-03,Lease agreement for Villa in FL for 30 months. Condition: Good.,30
155,1521,1789,63,1751,3990.0,0.1,5187.0,Credit Card,2024-11-02,1/16/2024,2024-01-25,2025-02-18,Lease agreement for Office in FL for 13 months. Condition: Poor.,13
156,1497,1696,189,46,9250.0,0.05,7862.5,Credit Card,2024-09-23,9/22/2024,2024-10-13,2026-03-07,Lease agreement for House in NY for 17 months. Condition: Good.,17
