visit_id,client_id,property_id,agent_id,visit_date,visit_purpose
V015629,1139,287,85,3/9/2020,Browsing
V011719,1354,553,245,3/9/2020,Area Comparison
V011895,829,1228,60,3/10/2020,Area Comparison
V011541,1020,1088,72,3/10/2020,Browsing
V013270,1935,186,46,3/10/2020,Area Comparison
V013271,1935,186,46,3/10/2020,Price Inquiry
V011540,1020,1088,72,3/10/2020,Price Inquiry
V011894,829,1228,60,3/10/2020,Just Checking
V015112,379,1401,97,3/10/2020,Area Comparison
V015113,379,1401,97,3/10/2020,Just Checking
V009024,1752,774,95,3/11/2020,Final Check
V011879,1283,1531,193,3/12/2020,Just Checking
V010792,348,2192,227,3/12/2020,Just Checking
V010793,348,2192,227,3/12/2020,Browsing
V011878,1283,1531,193,3/12/2020,Initial Interest
V012769,889,763,90,3/13/2020,Area Comparison
V012768,889,763,90,3/13/2020,Browsing
V010447,894,2224,12,3/15/2020,Area Comparison
V010446,894,2224,12,3/15/2020,Initial Interest
V015355,874,1548,2,3/15/2020,Price Inquiry
V014103,711,2905,1,3/15/2020,Price Inquiry
V015354,874,1548,2,3/15/2020,Area Comparison
V012627,682,364,198,3/15/2020,Browsing
V012626,682,364,198,3/15/2020,Area Comparison
V014102,711,2905,1,3/15/2020,Area Comparison
V009022,1752,774,95,3/16/2020,First Viewing
V010658,1582,602,227,3/16/2020,Initial Interest
V011821,1492,7,96,3/16/2020,Just Checking
V011820,1492,7,96,3/16/2020,Area Comparison
V012603,211,1850,121,3/16/2020,Price Inquiry
V012602,211,1850,121,3/16/2020,Area Comparison
V010659,1582,602,227,3/16/2020,Browsing
V009990,630,248,57,3/17/2020,Just Checking
V015877,1050,1787,225,3/17/2020,Browsing
V015876,1050,1787,225,3/17/2020,Price Inquiry
V009991,630,248,57,3/17/2020,Browsing
V006937,1421,2553,179,3/18/2020,Negotiation
V009400,1017,10,189,3/18/2020,Browsing
V009401,1017,10,189,3/18/2020,Area Comparison
V013975,47,1741,63,3/19/2020,Browsing
V006484,1270,1538,215,3/19/2020,First Viewing
V013974,47,1741,63,3/19/2020,Initial Interest
V015086,1294,1133,57,3/20/2020,Initial Interest
V015096,1470,837,101,3/20/2020,Browsing
V013447,746,1814,3,3/20/2020,Price Inquiry
V013446,746,1814,3,3/20/2020,Price Inquiry
V015097,1470,837,101,3/20/2020,Browsing
V015087,1294,1133,57,3/20/2020,Price Inquiry
V010764,1749,2780,4,3/21/2020,Price Inquiry
V010765,1749,2780,4,3/21/2020,Just Checking
V015477,1671,2962,208,3/22/2020,Initial Interest
V015476,1671,2962,208,3/22/2020,Price Inquiry
V013583,1268,542,19,3/23/2020,Price Inquiry
V012377,951,522,11,3/23/2020,Browsing
V010902,955,2829,189,3/23/2020,Area Comparison
V013367,1042,2449,185,3/23/2020,Price Inquiry
V010903,955,2829,189,3/23/2020,Area Comparison
V012376,951,522,11,3/23/2020,Area Comparison
V011961,241,1284,191,3/23/2020,Area Comparison
V013582,1268,542,19,3/23/2020,Browsing
V013366,1042,2449,185,3/23/2020,Just Checking
V011960,241,1284,191,3/23/2020,Browsing
V016225,2007,1170,188,3/24/2020,Browsing
V016224,2007,1170,188,3/24/2020,Price Inquiry
V006485,1270,1538,215,3/24/2020,Negotiation
V015973,264,429,152,3/24/2020,Browsing
V015972,264,429,152,3/24/2020,Just Checking
V012109,138,2954,35,3/25/2020,Area Comparison
V012108,138,2954,35,3/25/2020,Price Inquiry
V013031,879,2220,95,3/26/2020,Price Inquiry
V013030,879,2220,95,3/26/2020,Area Comparison
V015444,952,2738,236,3/26/2020,Browsing
V015445,952,2738,236,3/26/2020,Price Inquiry
V012752,1462,804,77,3/27/2020,Area Comparison
V015189,1707,1565,109,3/27/2020,Just Checking
V015188,1707,1565,109,3/27/2020,Area Comparison
V012753,1462,804,77,3/27/2020,Just Checking
V007313,1668,1860,101,3/28/2020,Negotiation
V009603,1137,2763,90,3/28/2020,Area Comparison
V009602,1137,2763,90,3/28/2020,Price Inquiry
V013640,1493,1692,144,3/28/2020,Initial Interest
V013641,1493,1692,144,3/28/2020,Price Inquiry
V012487,593,1021,63,3/29/2020,Initial Interest
V010594,1531,1734,19,3/29/2020,Browsing
V010595,1531,1734,19,3/29/2020,Price Inquiry
V011275,935,1741,28,3/29/2020,Area Comparison
V011274,935,1741,28,3/29/2020,Area Comparison
V012486,593,1021,63,3/29/2020,Browsing
V015953,609,210,144,3/30/2020,Area Comparison
V015952,609,210,144,3/30/2020,Browsing
V009504,910,1753,28,3/31/2020,Just Checking
V010041,397,2335,51,3/31/2020,Initial Interest
V010040,397,2335,51,3/31/2020,Area Comparison
V014909,711,2291,127,3/31/2020,Just Checking
V014908,711,2291,127,3/31/2020,Area Comparison
V007945,552,1235,205,3/31/2020,First Viewing
V014624,1595,1687,129,3/31/2020,Just Checking
V014625,1595,1687,129,3/31/2020,Area Comparison
V009505,910,1753,28,3/31/2020,Just Checking
V011286,1110,604,147,4/1/2020,Just Checking
V012468,1251,2833,217,4/1/2020,Initial Interest
V012469,1251,2833,217,4/1/2020,Just Checking
V011287,1110,604,147,4/1/2020,Just Checking
V014587,107,2130,247,4/2/2020,Price Inquiry
V014586,107,2130,247,4/2/2020,Area Comparison
V006486,1270,1538,215,4/2/2020,Final Check
V015724,113,1031,93,4/3/2020,Initial Interest
V013549,1839,909,18,4/3/2020,Initial Interest
V013241,1702,817,193,4/3/2020,Just Checking
V015725,113,1031,93,4/3/2020,Price Inquiry
V013240,1702,817,193,4/3/2020,Price Inquiry
V009433,353,2806,192,4/3/2020,Just Checking
V009432,353,2806,192,4/3/2020,Initial Interest
V011284,1375,804,2,4/3/2020,Just Checking
V011285,1375,804,2,4/3/2020,Just Checking
V013548,1839,909,18,4/3/2020,Browsing
V015091,1466,1039,27,4/4/2020,Area Comparison
V013533,644,2069,127,4/4/2020,Browsing
V013532,644,2069,127,4/4/2020,Price Inquiry
V015090,1466,1039,27,4/4/2020,Price Inquiry
V009655,1268,117,23,4/5/2020,Area Comparison
V012298,1674,1599,84,4/5/2020,Just Checking
V012199,708,772,2,4/5/2020,Browsing
V011186,327,651,249,4/5/2020,Browsing
V011187,327,651,249,4/5/2020,Initial Interest
V012198,708,772,2,4/5/2020,Browsing
V012299,1674,1599,84,4/5/2020,Browsing
V009654,1268,117,23,4/5/2020,Price Inquiry
V011372,1669,34,185,4/5/2020,Price Inquiry
V006938,1421,2553,179,4/5/2020,Final Check
V011373,1669,34,185,4/5/2020,Initial Interest
V014521,1445,2532,73,4/6/2020,Just Checking
V012186,227,2312,60,4/6/2020,Browsing
V012187,227,2312,60,4/6/2020,Price Inquiry
V014520,1445,2532,73,4/6/2020,Price Inquiry
V012334,753,1533,148,4/7/2020,Price Inquiry
V012335,753,1533,148,4/7/2020,Price Inquiry
V016253,1519,980,161,4/7/2020,Initial Interest
V016252,1519,980,161,4/7/2020,Price Inquiry
V011548,1916,1582,112,4/8/2020,Just Checking
V011549,1916,1582,112,4/8/2020,Initial Interest
V010502,1645,841,184,4/8/2020,Browsing
V010503,1645,841,184,4/8/2020,Initial Interest
V014068,493,53,219,4/9/2020,Initial Interest
V012953,78,888,227,4/9/2020,Browsing
V015046,1573,2530,26,4/9/2020,Just Checking
V012952,78,888,227,4/9/2020,Area Comparison
V014069,493,53,219,4/9/2020,Just Checking
V015047,1573,2530,26,4/9/2020,Area Comparison
V009718,1943,2569,245,4/10/2020,Browsing
V007948,552,1235,205,4/10/2020,Contract Discussion
V013654,78,2649,232,4/10/2020,Initial Interest
V013655,78,2649,232,4/10/2020,Area Comparison
V014767,1867,2998,72,4/10/2020,Browsing
V014766,1867,2998,72,4/10/2020,Initial Interest
V009719,1943,2569,245,4/10/2020,Browsing
V011308,1984,2238,97,4/10/2020,Initial Interest
V011309,1984,2238,97,4/10/2020,Just Checking
V013779,1332,1432,99,4/11/2020,Area Comparison
V014890,580,2914,37,4/11/2020,Initial Interest
V013778,1332,1432,99,4/11/2020,Browsing
V007312,1668,1860,101,4/11/2020,First Viewing
V014891,580,2914,37,4/11/2020,Initial Interest
V013737,183,307,225,4/12/2020,Initial Interest
V010636,494,370,141,4/12/2020,Initial Interest
V010637,494,370,141,4/12/2020,Browsing
V010972,232,2071,34,4/12/2020,Initial Interest
V010973,232,2071,34,4/12/2020,Browsing
V009829,537,1777,111,4/12/2020,Just Checking
V009828,537,1777,111,4/12/2020,Area Comparison
V013736,183,307,225,4/12/2020,Area Comparison
V009571,1520,2636,89,4/13/2020,Area Comparison
V011278,1621,589,50,4/13/2020,Just Checking
V009570,1520,2636,89,4/13/2020,Initial Interest
V011279,1621,589,50,4/13/2020,Price Inquiry
V012576,2051,1273,242,4/13/2020,Browsing
V001657,826,2229,225,4/13/2020,First Viewing
V012577,2051,1273,242,4/13/2020,Price Inquiry
V013909,292,888,24,4/14/2020,Browsing
V014758,1083,2181,194,4/14/2020,Area Comparison
V013037,262,263,216,4/14/2020,Just Checking
V014759,1083,2181,194,4/14/2020,Area Comparison
V013908,292,888,24,4/14/2020,Just Checking
V013036,262,263,216,4/14/2020,Initial Interest
V001659,826,2229,225,4/15/2020,Final Check
V014914,2034,36,149,4/15/2020,Area Comparison
V011412,1337,242,102,4/15/2020,Initial Interest
V012188,526,200,72,4/15/2020,Browsing
V012189,526,200,72,4/15/2020,Initial Interest
V011413,1337,242,102,4/15/2020,Price Inquiry
V014915,2034,36,149,4/15/2020,Browsing
V016205,1680,1611,207,4/16/2020,Browsing
V016204,1680,1611,207,4/16/2020,Initial Interest
V001658,826,2229,225,4/16/2020,Negotiation
V015826,507,2584,128,4/17/2020,Price Inquiry
V010710,1627,12,75,4/17/2020,Area Comparison
V015827,507,2584,128,4/17/2020,Initial Interest
V010711,1627,12,75,4/17/2020,Price Inquiry
V016164,711,544,62,4/18/2020,Price Inquiry
V016165,711,544,62,4/18/2020,Just Checking
V010983,326,52,240,4/18/2020,Just Checking
V010982,326,52,240,4/18/2020,Just Checking
V009248,1150,1455,147,4/19/2020,Browsing
V015688,1094,2727,167,4/19/2020,Initial Interest
V009249,1150,1455,147,4/19/2020,Browsing
V015689,1094,2727,167,4/19/2020,Browsing
V011396,1479,2827,5,4/19/2020,Just Checking
V011397,1479,2827,5,4/19/2020,Initial Interest
V011837,1289,1869,192,4/21/2020,Browsing
V011836,1289,1869,192,4/21/2020,Area Comparison
V006936,1421,2553,179,4/21/2020,First Viewing
V015307,65,1971,24,4/22/2020,Initial Interest
V013934,1564,2009,130,4/22/2020,Just Checking
V013935,1564,2009,130,4/22/2020,Price Inquiry
V015306,65,1971,24,4/22/2020,Area Comparison
V014325,756,920,54,4/23/2020,Browsing
V010847,794,1455,24,4/23/2020,Browsing
V012826,1814,2784,127,4/23/2020,Area Comparison
V012827,1814,2784,127,4/23/2020,Initial Interest
V014324,756,920,54,4/23/2020,Area Comparison
V010846,794,1455,24,4/23/2020,Area Comparison
V012063,545,2241,215,4/24/2020,Price Inquiry
V012062,545,2241,215,4/24/2020,Just Checking
V009658,511,2555,92,4/25/2020,Price Inquiry
V010974,819,37,194,4/25/2020,Initial Interest
V009659,511,2555,92,4/25/2020,Initial Interest
V011969,317,1370,171,4/25/2020,Initial Interest
V011968,317,1370,171,4/25/2020,Area Comparison
V010975,819,37,194,4/25/2020,Just Checking
V016006,1854,744,77,4/26/2020,Just Checking
V016007,1854,744,77,4/26/2020,Area Comparison
V010949,936,1178,156,4/27/2020,Price Inquiry
V010948,936,1178,156,4/27/2020,Area Comparison
V015104,1057,753,92,4/28/2020,Price Inquiry
V015105,1057,753,92,4/28/2020,Price Inquiry
V015281,83,1313,54,4/28/2020,Price Inquiry
V011452,147,2700,93,4/28/2020,Initial Interest
V010923,259,506,75,4/28/2020,Area Comparison
V011453,147,2700,93,4/28/2020,Browsing
V015280,83,1313,54,4/28/2020,Just Checking
V010922,259,506,75,4/28/2020,Just Checking
V013264,923,1309,203,4/29/2020,Browsing
V007946,552,1235,205,4/29/2020,Negotiation
V013265,923,1309,203,4/29/2020,Area Comparison
V016055,822,887,93,4/30/2020,Area Comparison
V016054,822,887,93,4/30/2020,Price Inquiry
V015142,1024,2807,225,5/1/2020,Just Checking
V010739,1349,1256,72,5/1/2020,Price Inquiry
V010738,1349,1256,72,5/1/2020,Just Checking
V015143,1024,2807,225,5/1/2020,Area Comparison
V012301,1717,2086,179,5/2/2020,Initial Interest
V012300,1717,2086,179,5/2/2020,Price Inquiry
V014510,1700,205,249,5/2/2020,Browsing
V014511,1700,205,249,5/2/2020,Price Inquiry
V011315,1375,2810,121,5/3/2020,Area Comparison
V011314,1375,2810,121,5/3/2020,Browsing
V010657,308,725,134,5/3/2020,Initial Interest
V010245,604,1318,123,5/3/2020,Area Comparison
V009333,1131,1054,18,5/3/2020,Area Comparison
V010656,308,725,134,5/3/2020,Browsing
V009332,1131,1054,18,5/3/2020,Area Comparison
V009641,1225,217,155,5/3/2020,Area Comparison
V009640,1225,217,155,5/3/2020,Initial Interest
V010244,604,1318,123,5/3/2020,Area Comparison
V013377,1526,1881,52,5/4/2020,Initial Interest
V013376,1526,1881,52,5/4/2020,Area Comparison
V009992,1138,214,17,5/4/2020,Initial Interest
V014928,42,1886,147,5/4/2020,Browsing
V015506,496,1374,128,5/4/2020,Just Checking
V015507,496,1374,128,5/4/2020,Area Comparison
V012983,568,186,46,5/4/2020,Area Comparison
V012982,568,186,46,5/4/2020,Just Checking
V009363,871,1219,79,5/4/2020,Just Checking
V014929,42,1886,147,5/4/2020,Price Inquiry
V009362,871,1219,79,5/4/2020,Just Checking
V009993,1138,214,17,5/4/2020,Just Checking
V013134,1211,280,135,5/5/2020,Initial Interest
V013683,1069,2652,138,5/5/2020,Browsing
V012908,1837,2023,144,5/5/2020,Price Inquiry
V013682,1069,2652,138,5/5/2020,Just Checking
V009693,2016,1606,22,5/5/2020,Initial Interest
V009692,2016,1606,22,5/5/2020,Price Inquiry
V013135,1211,280,135,5/5/2020,Price Inquiry
V012909,1837,2023,144,5/5/2020,Browsing
V009768,331,2660,74,5/6/2020,Just Checking
V009769,331,2660,74,5/6/2020,Area Comparison
V012366,1207,539,117,5/7/2020,Just Checking
V007947,552,1235,205,5/7/2020,Final Check
V013796,1624,1002,75,5/7/2020,Initial Interest
V012532,1276,2626,132,5/7/2020,Browsing
V012533,1276,2626,132,5/7/2020,Area Comparison
V013797,1624,1002,75,5/7/2020,Price Inquiry
V013284,1302,634,67,5/7/2020,Browsing
V013285,1302,634,67,5/7/2020,Browsing
V001515,1423,2389,177,5/7/2020,First Viewing
V012367,1207,539,117,5/7/2020,Browsing
V014519,891,2313,218,5/8/2020,Browsing
V014518,891,2313,218,5/8/2020,Area Comparison
V013515,1390,1566,79,5/8/2020,Price Inquiry
V011646,1250,2943,195,5/8/2020,Area Comparison
V013514,1390,1566,79,5/8/2020,Browsing
V011647,1250,2943,195,5/8/2020,Initial Interest
V009443,853,2172,235,5/8/2020,Just Checking
V009442,853,2172,235,5/8/2020,Initial Interest
V001517,1423,2389,177,5/9/2020,Final Check
V012291,594,1454,232,5/9/2020,Initial Interest
V012290,594,1454,232,5/9/2020,Price Inquiry
V013096,1476,2098,146,5/9/2020,Browsing
V013097,1476,2098,146,5/9/2020,Just Checking
V010962,1847,1232,7,5/9/2020,Area Comparison
V010963,1847,1232,7,5/9/2020,Initial Interest
V001516,1423,2389,177,5/9/2020,Negotiation
V009444,454,2727,39,5/10/2020,Area Comparison
V009445,454,2727,39,5/10/2020,Just Checking
V009133,1685,662,132,5/11/2020,Price Inquiry
V013749,463,1304,182,5/11/2020,Price Inquiry
V014067,1714,306,84,5/11/2020,Price Inquiry
V014648,1408,763,205,5/11/2020,Initial Interest
V013748,463,1304,182,5/11/2020,Initial Interest
V014649,1408,763,205,5/11/2020,Area Comparison
V009132,1685,662,132,5/11/2020,Area Comparison
V014066,1714,306,84,5/11/2020,Browsing
V010081,1149,2899,227,5/11/2020,Just Checking
V010080,1149,2899,227,5/11/2020,Browsing
V010890,491,2849,213,5/11/2020,Browsing
V010891,491,2849,213,5/11/2020,Browsing
V015896,968,2048,248,5/13/2020,Initial Interest
V015897,968,2048,248,5/13/2020,Browsing
V010671,762,1132,175,5/13/2020,Browsing
V010670,762,1132,175,5/13/2020,Area Comparison
V016210,1222,2886,72,5/14/2020,Browsing
V016211,1222,2886,72,5/14/2020,Initial Interest
V014064,456,1880,42,5/14/2020,Price Inquiry
V014065,456,1880,42,5/14/2020,Price Inquiry
V013454,520,2781,139,5/15/2020,Browsing
V013455,520,2781,139,5/15/2020,Browsing
V009584,761,2027,107,5/16/2020,Just Checking
V009585,761,2027,107,5/16/2020,Price Inquiry
V010839,1379,240,121,5/16/2020,Area Comparison
V010838,1379,240,121,5/16/2020,Initial Interest
V013163,1963,1167,28,5/17/2020,Just Checking
V012537,1627,1952,131,5/17/2020,Just Checking
V013162,1963,1167,28,5/17/2020,Initial Interest
V012536,1627,1952,131,5/17/2020,Price Inquiry
V010576,481,1542,49,5/17/2020,Price Inquiry
V010577,481,1542,49,5/17/2020,Just Checking
V009642,293,2944,175,5/18/2020,Area Comparison
V009643,293,2944,175,5/18/2020,Just Checking
V009984,260,302,186,5/20/2020,Browsing
V009985,260,302,186,5/20/2020,Just Checking
V011310,697,625,92,5/20/2020,Price Inquiry
V014290,1563,1167,96,5/20/2020,Area Comparison
V011311,697,625,92,5/20/2020,Browsing
V015396,630,2862,214,5/20/2020,Browsing
V015397,630,2862,214,5/20/2020,Just Checking
V014291,1563,1167,96,5/20/2020,Initial Interest
V001997,379,1160,218,5/21/2020,Negotiation
V012978,1668,2890,49,5/24/2020,Initial Interest
V011772,725,2993,13,5/24/2020,Browsing
V011773,725,2993,13,5/24/2020,Area Comparison
V012979,1668,2890,49,5/24/2020,Area Comparison
V011750,612,524,215,5/24/2020,Browsing
V011751,612,524,215,5/24/2020,Initial Interest
V012467,1373,1324,214,5/25/2020,Price Inquiry
V012398,415,632,240,5/25/2020,Browsing
V011142,819,114,24,5/25/2020,Price Inquiry
V012399,415,632,240,5/25/2020,Price Inquiry
V012466,1373,1324,214,5/25/2020,Initial Interest
V011143,819,114,24,5/25/2020,Area Comparison
V010760,1740,427,212,5/26/2020,Initial Interest
V010761,1740,427,212,5/26/2020,Browsing
V011873,1174,1209,127,5/27/2020,Initial Interest
V011872,1174,1209,127,5/27/2020,Initial Interest
V014945,431,555,215,5/28/2020,Browsing
V014944,431,555,215,5/28/2020,Price Inquiry
V009377,1269,2315,36,5/28/2020,Just Checking
V010088,963,691,106,5/28/2020,Initial Interest
V009376,1269,2315,36,5/28/2020,Just Checking
V012323,1997,1368,52,5/28/2020,Browsing
V010089,963,691,106,5/28/2020,Initial Interest
V012322,1997,1368,52,5/28/2020,Just Checking
V009483,932,1877,189,5/29/2020,Just Checking
V014730,704,1055,167,5/29/2020,Browsing
V009482,932,1877,189,5/29/2020,Price Inquiry
V014731,704,1055,167,5/29/2020,Just Checking
V001996,379,1160,218,5/30/2020,First Viewing
V014230,850,2533,128,5/30/2020,Browsing
V014231,850,2533,128,5/30/2020,Area Comparison
V009820,805,104,43,5/31/2020,Initial Interest
V015673,1994,872,138,5/31/2020,Area Comparison
V009821,805,104,43,5/31/2020,Just Checking
V015672,1994,872,138,5/31/2020,Initial Interest
V013818,820,751,72,5/31/2020,Just Checking
V013819,820,751,72,5/31/2020,Just Checking
V010052,1078,993,97,6/1/2020,Price Inquiry
V012498,1675,819,173,6/1/2020,Price Inquiry
